Working_in,involvement_software,Age,Gender,Country,Education,employment_status,Role,Number_of_employees,project_team,Meeting_interrupted,Eye_contact,Asked_question_to_another,Presented_idea,Menial_tasks,Managing,Make_necessary_decisions,Team_values,Aggressive_or_bossy,Excluded_from_social,unfairly_treated,Biggest_obstacle,Harassment,Sexism,Growth_opportunities,Fairly compensated,Start_over,More_challenging_gender,Which_gender?,Anything_else?,Summary_or_contact
Yes,21+ years,56-65,Female,Netherlands,Masters degree,Self-employed,ICT Consultant,Less than 10,11 - 15,Sometimes,Rarely,Sometimes,Never,Very often,Untrue,Disagree,Agree,three or four times,one or two times,No because I listen to all aspects of stakeholders challenges and risks !,The business is not aware of their requirements and that is changing constantly.,I haven't experienced or witnessed this behaviour,I haven't experienced or witnessed this behaviour,Disagree,Disagree,Strongly disagree,Agree,Female,Software development should be Made more ethic ! If a software designer is asked to build a system against human rights only for profit then is that a big risk to Humanity.,Yes I would like to obtain a summary of the results and keep in touch in case additional information is needed
Yes,21+ years,56-65,Male,United Kingdom,Masters degree,Part-time (less than 38 hours a week),I do whatever needs doing so developer. architect. tester. agile coach and a lot more,Less than 10,1 - 5,Very often,Never,Never,Very often,Sometimes,True,Strongly agree,Strongly agree,no. never,no. never,Sometimes in the distant past my manager didn't have a global view while I was helping other teams he was only concerned with his own targets.,Ignorance of ignorance.  In a hierarchical organisation the manager is expected to know more than his team. In reality this is pretty rare in software development but some managers are unaware of that reality.,I haven't experienced or witnessed this behaviour,I haven't experienced or witnessed this behaviour,Strongly agree,Neutral,Neutral,Neutral,,I have been careful to choose employers that are good. so I've experienced less difficulty than I know happens elsewhere.  I also lead by example so people get the idea that I don't condone bad behaviour.  Some of your questions. though. I wonder about.  We encourage debate and challenging ideas. so it is a sign of a healthy team rather than an oppressive regime.,Yes I would like to obtain a summary of the results and keep in touch in case additional information is needed
Yes,21+ years,46-55,Male,Canada,Masters degree,Full-time (38+ hours a week),Product manager,501 - 1000,6 - 10,Sometimes,Never,Rarely,Never,Never,True,Neutral,Agree,More than four times,no. never,No,Lack of discipline and understanding of what disciplined software engineering looks like,I have witnessed this behaviour,I have witnessed this behaviour,Strongly agree,Agree,Strongly agree,Neutral,,Beware the assumption that interruptions are bad... sandy Pentland’s work at MITs human dynamics lab found that interruptions are common in high performing teams.,Yes I would like to obtain a summary of the results and keep in touch in case additional information is needed
Yes,21+ years,56-65,Male,United States,Bachelors degree,Full-time (38+ hours a week),Architect,100.000+,6 - 10,Rarely,Never,Rarely,Never,Never,Untrue,Strongly agree,Strongly agree,no. never,no. never,No,No real obstacles encountered ,I have witnessed this behaviour,I have witnessed this behaviour,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Female,(Where you used the word “retribution”. you meant “attribution”.),Yes I would like to obtain a summary of the results and keep in touch in case additional information is needed
Yes,16-20 years,36-45,Male,India,Masters degree,Full-time (38+ hours a week),Product manager,1001 - 10.000,6 - 10,Very often,Sometimes,Very often,Sometimes,Very often,True,Neutral,Neutral,one or two times,no. never,No ,Change in technology ,I have witnessed this behaviour,I have experienced this behaviour,Agree,Disagree,Agree,Agree,Male,No,Yes I would like to obtain a summary of the results and keep in touch in case additional information is needed
Yes,16-20 years,56-65,Male,Netherlands,Bachelors degree,Full-time (38+ hours a week),Functional support ,1001 - 10.000,6 - 10,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,True,Agree,Agree,one or two times,no. never,Never,Nothing,I haven't experienced or witnessed this behaviour,I haven't experienced or witnessed this behaviour,Agree,Agree,Agree,Neutral,,Keep learning it is going fast sotware industry,Yes I would like to obtain a summary of the results
Yes,3-5 years,18-25,Female,Netherlands,Bachelors degree,Full-time (38+ hours a week),Functional analist,10.000 - 100.000,11 - 15,Sometimes,Rarely,Very often,Rarely,Rarely,Untrue,Neutral,Disagree,no. never,one or two times,No,Having to prove that as a woman I also know what I'm talking about,I have experienced and witnessed this behaviour,I have experienced and witnessed this behaviour,Agree,Strongly agree,Neutral,Strongly agree,Female. Non-binary,,Yes I would like to obtain a summary of the results and keep in touch in case additional information is needed
Yes,21+ years,46-55,Male,Netherlands,Bachelors degree,Full-time (38+ hours a week),Vice President,100.000+,16 - 20,Very often,Sometimes,Sometimes,Rarely,Rarely,True,Strongly agree,Strongly agree,three or four times,no. never,in a 20+ yrs career it would be weird if this did not happen. ,work life balance: peak workload around major releases or big escalations,I have experienced this behaviour,I have experienced this behaviour,Neutral,Strongly agree,Agree,Disagree,,good luck,Yes I would like to obtain a summary of the results
Yes,Less than 2 years,26-35,Male,Netherlands,Doctorate,Full-time (38+ hours a week),Professor,501 - 1000,1 - 5,Sometimes,Rarely,Rarely,Rarely,Rarely,True,Agree,Strongly agree,no. never,no. never,,,I have witnessed this behaviour,I have witnessed this behaviour,Strongly agree,Agree,Strongly agree,Neutral,,,Yes I would like to obtain a summary of the results and keep in touch in case additional information is needed
Yes,3-5 years,26-35,Male,Netherlands,High school degree or equivalent,Part-time (less than 38 hours a week),Architect,1001 - 10.000,1 - 5,Rarely,Never,Sometimes,Very often,Rarely,Untrue,Neutral,Neutral,no. never,no. never,Since my employer is not an IT company. they fail to understand my value or recognize growth opportunities. I am therefore underpaid compared to my colleagues both in my company and in the IT industry.,Working with people who don't understand IT.,I have experienced this behaviour,I have experienced this behaviour,Strongly agree,Strongly disagree,Agree,Agree,Non-binary,,no thank you
Yes,11-15 years,36-45,Male,Netherlands,Bachelors degree,Unemployed (looking for a job),Product owner,I am a freelancer,6 - 10,Very often,Sometimes,Rarely,Rarely,Very often,True,Agree,Agree,three or four times,three or four times,No,No,I haven't experienced or witnessed this behaviour,I have experienced and witnessed this behaviour,Agree,Strongly agree,Agree,Agree,,,no thank you
Yes,11-15 years,36-45,Male,Netherlands,Masters degree,Full-time (38+ hours a week),Integration Solution Consultant,10.000 - 100.000,6 - 10,Rarely,Never,Sometimes,Never,Never,True,Agree,Strongly agree,no. never,no. never,It happened especially during junior experience,Meet customer requirements with management requests,I haven't experienced or witnessed this behaviour,I haven't experienced or witnessed this behaviour,Agree,Agree,Strongly agree,Disagree,,,Yes I would like to obtain a summary of the results and keep in touch in case additional information is needed
Yes,6-10 years,26-35,Male,Netherlands,Masters degree,Self-employed,Developer,Less than 10,1 - 5,Sometimes,Sometimes,Sometimes,Never,Never,Untrue,Agree,Agree,no. never,no. never,No,Performance review. They are rarely fair and don't take into account team dynamics.,I haven't experienced or witnessed this behaviour,I haven't experienced or witnessed this behaviour,Strongly agree,Agree,Agree,Neutral,,,no thank you
Yes,11-15 years,36-45,Male,Mexico,Bachelors degree,Full-time (38+ hours a week),Developer,1001 - 10.000,1 - 5,Sometimes,Rarely,Sometimes,Rarely,Rarely,True,Agree,Agree,no. never,More than four times,not in my current job,"having timing ""luck"" in social situations",I haven't experienced or witnessed this behaviour,I haven't experienced or witnessed this behaviour,Agree,Neutral,Strongly agree,Disagree,,.,no thank you
Yes,Less than 2 years,18-25,Female,Germany,Bachelors degree,Unemployed (looking for a job),Consultant,10.000 - 100.000,16 - 20,Sometimes,Rarely,Sometimes,Rarely,Very often,Untrue,Disagree,Strongly agree,one or two times,no. never,No,That I didn't understand the concept in the beginning,I haven't experienced or witnessed this behaviour,I have experienced and witnessed this behaviour,Strongly agree,Agree,Agree,Agree,Female,,no thank you
Yes,6-10 years,26-35,Male,Netherlands,Bachelors degree,Full-time (38+ hours a week),Developer,1001 - 10.000,1 - 5,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Untrue,Neutral,Agree,one or two times,no. never,Overlooked for promotions while still being lied to in order to be kept around.,,I have experienced this behaviour,I have experienced and witnessed this behaviour,Neutral,Neutral,Agree,Agree,Female,,Yes I would like to obtain a summary of the results and keep in touch in case additional information is needed
Yes,3-5 years,26-35,Male,Germany,Masters degree,Part-time (less than 38 hours a week),Product owner,10.000 - 100.000,11 - 15,Rarely,Rarely,Sometimes,Rarely,Rarely,True,Agree,Strongly agree,no. never,one or two times,,,I haven't experienced or witnessed this behaviour,I haven't experienced or witnessed this behaviour,Neutral,Disagree,Neutral,Disagree,,,Yes I would like to obtain a summary of the results and keep in touch in case additional information is needed
Yes,21+ years,46-55,Female,Germany,Masters degree,Full-time (38+ hours a week),Product manager,10 - 100,6 - 10,Sometimes,Sometimes,Very often,Very often,Sometimes,True,Neutral,Agree,three or four times,three or four times,yes. as a woman. you have to work more and deliver more to be credible. There is the expectation that a woman brings less to the table than a man. ,The risk of becoming obsolete is important for a woman because she is usually assigned less important or less innovative tasks or projects.,I have experienced this behaviour,I have experienced this behaviour,Neutral,Disagree,Disagree,Strongly agree,Female,,no thank you
Yes,3-5 years,36-45,Female,United States,Bachelors degree,Full-time (38+ hours a week),Developer,1001 - 10.000,6 - 10,Very often,Very often,Very often,Never,Rarely,Untrue,Neutral,Agree,no. never,More than four times,"yes. although not intentionally. There exists a ""bro culture"" so ingrained that it's the norm and I don't think my fellow developers realize what they're doing because overall they're great guys and I don't believe they'd do these things on purpose. I've noticed myself and other women being interrupted during meetings and talked over. One of my female coworkers makes a point to continue to speak when this happens until her point is made. even though it makes it very obvious that someone has interrupted her and is talking over her. so it's awkward. I applaud her efforts. The guys will go to lunch together to chit chat and they never invite us women. It makes me feel excluded.",Lack of a female mentor!!! I work just as hard as my male coworkers. but I also balance home-life. I'm the primary caretaker of 3 boys. so I arrange their doctor/dental/eye appointments and take them there. run the finances. plan/budget all our meals and also cook. I care for the sick children and handle maintenance at home. It's my understanding that all of my male coworkers either have wives who do all these things for them or they don't have kids. Either way. I don't think they understand just how hard I work juggling work & life responsibilities. and I'd love to have a woman who's been there and who has more experience to guide me. Or perhaps just to listen to me vent about it. haha,I have witnessed this behaviour,I have experienced and witnessed this behaviour,Agree,Agree,Strongly agree,Strongly agree,Female,Additional challenges include a lack of diversity in the work force. Most people in the industry in my geographical region are white males. There are hardly any females. and if they are then they are white. I am Latina and I have yet to meet a single Latina developer. I'm the only one at my company of almost 1500 employees across the country. I wish there was a way for my company to recognize this as an issue and to not only try to rectify it but also to include us in the process. I'd absolutely love to be able to participate in problem-solving this issue!,Yes I am willing to keep in touch in case additional information is needed.
Yes,11-15 years,36-45,Male,Mexico,Masters degree,Full-time (38+ hours a week),Developer,1001 - 10.000,1 - 5,Sometimes,Rarely,Sometimes,Sometimes,Never,True,Strongly agree,Strongly agree,no. never,no. never,Sometimes the effort/results is not retributed. and several other times visibility in an organization plays a more important role.,Direct management which is biased and shows open preference for an ethnic group.,I have experienced and witnessed this behaviour,I have experienced and witnessed this behaviour,Agree,Neutral,Strongly agree,Neutral,,Not at all.,Yes I would like to obtain a summary of the results
Yes,11-15 years,36-45,Male,Mexico,Masters degree,Full-time (38+ hours a week),Developer,1001 - 10.000,16 - 20,Rarely,Rarely,Sometimes,Never,Never,True,Agree,Strongly agree,no. never,no. never,Never. I've being always treated fairly,People managing teams without experience ,I have witnessed this behaviour,I have experienced and witnessed this behaviour,Agree,Neutral,Disagree,Neutral,,None,Yes I would like to obtain a summary of the results and keep in touch in case additional information is needed
Yes,16-20 years,46-55,Male,Germany,Masters degree,Full-time (38+ hours a week),Product owner,101 - 500,1 - 5,Rarely,Never,Never,Rarely,Rarely,Untrue,Agree,Agree,no. never,no. never,,When applying to new jobs I faced problems because my field of study was not computer science. but liberal arts and the prospective employer feared that I would not have enough knowledge. although my previous work showed practical experience.,I haven't experienced or witnessed this behaviour,I haven't experienced or witnessed this behaviour,Agree,Agree,Agree,Agree,Female. Non-binary,,Yes I would like to obtain a summary of the results and keep in touch in case additional information is needed
Yes,16-20 years,56-65,Female,Netherlands,Masters degree,Part-time (less than 38 hours a week),Business information analist,1001 - 10.000,11 - 15,Rarely,Rarely,Sometimes,Sometimes,Rarely,Untrue,Agree,Agree,no. never,one or two times,Not getting  a bonus. while collegues did get one,Connecting different 'worlds' because of differences in vocabulary across divisions or functions,I have witnessed this behaviour,I have experienced and witnessed this behaviour,Strongly agree,Agree,Agree,Agree,Non-binary,-,Yes I would like to obtain a summary of the results and keep in touch in case additional information is needed
Yes,3-5 years,36-45,Male,Netherlands,Bachelors degree,Full-time (38+ hours a week),Product manager,1001 - 10.000,21 - 25,Sometimes,Rarely,Rarely,Never,Rarely,Untrue,Neutral,Agree,three or four times,one or two times,,,I have witnessed this behaviour,I have witnessed this behaviour,Agree,Strongly agree,Neutral,Disagree,,,no thank you
Yes,Less than 2 years,18-25,Female,Netherlands,Bachelors degree,Unemployed (looking for a job),Developer,Less than 10,1 - 5,Sometimes,Never,Never,Never,Never,Untrue,Neutral,Agree,no. never,no. never,No,,I haven't experienced or witnessed this behaviour,I haven't experienced or witnessed this behaviour,Agree,Neutral,Agree,Neutral,,,no thank you
Yes,3-5 years,36-45,Female,Germany,Doctorate,Full-time (38+ hours a week),Product owner,101 - 500,6 - 10,Sometimes,Sometimes,Rarely,Never,Rarely,True,Agree,Agree,three or four times,one or two times, ,Dealing with difficult colleagues that don’t want to move things forward. Also in b2b models it hard to justify costs for essential aspects such as automated test coverage or code refactoring for continues improving. Non technical clients doesn’t value that and always oppose to better software quality measures they think are useless and to be honest it is hard for software company provider to fight back. ,I have experienced and witnessed this behaviour,I have witnessed this behaviour,Agree,Agree,Agree,Strongly agree,Female. Non-binary,,Yes I would like to obtain a summary of the results and keep in touch in case additional information is needed
Yes,16-20 years,36-45,Male,Italy,Bachelors degree,Part-time (less than 38 hours a week),Developer,10 - 100,1 - 5,Sometimes,Very often,Very often,Rarely,Rarely,Untrue,Neutral,Neutral,no. never,More than four times,No,,I have experienced and witnessed this behaviour,I have witnessed this behaviour,Agree,Neutral,Agree,Agree,Male,,Yes I would like to obtain a summary of the results
Yes,3-5 years,36-45,Male,Germany,Doctorate,Full-time (38+ hours a week),Developer,101 - 500,1 - 5,Rarely,Never,Rarely,Never,Never,Untrue,Neutral,Agree,one or two times,no. never,yes. bearing responsibility but having little freedom to make decisions,Being excluded from decision processes,I haven't experienced or witnessed this behaviour,I haven't experienced or witnessed this behaviour,Neutral,Agree,Agree,Disagree,,,no thank you
Yes,6-10 years,26-35,Female,Germany,Bachelors degree,Full-time (38+ hours a week),Scrum Master/Agile Coach,10 - 100,6 - 10,Rarely,Rarely,Rarely,Rarely,Sometimes,Untrue,Agree,Agree,no. never,no. never,No,Working with a distributed team. it was the biggest challange at first; but it turned out to be fun work at some point with this variety.,I have witnessed this behaviour,I have witnessed this behaviour,Agree,Disagree,Agree,Agree,Female,,Yes I would like to obtain a summary of the results
Yes,6-10 years,26-35,Female,United Kingdom,Masters degree,Unemployed (looking for a job),Architect,Less than 10,1 - 5,Very often,Sometimes,Very often,Never,Never,True,Neutral,Agree,More than four times,no. never,I have sometimes had people be surprised at my leadership role (but also due to age as well). One thing I have noticed is that whenever I am in meetups or networking events. I am always pushed for questions on what I do. how I got here. to basically prove that I deserve to be in the respective meetup. whereas in between them. men just automatically assume they have the required knowledge. and just start debating interesting subjects after the initial pleasantries.,Sometimes. being in a leadership position. it is very hard to be taken seriously as a woman who also looks very young.,I have experienced and witnessed this behaviour,I have experienced and witnessed this behaviour,Strongly agree,Neutral,Agree,Agree,Female. Non-binary,,Yes I would like to obtain a summary of the results and keep in touch in case additional information is needed
Yes,6-10 years,56-65,Male,Germany,Doctorate,Full-time (38+ hours a week),Product manager,10 - 100,1 - 5,Very often,Rarely,Rarely,Never,Rarely,True,Strongly agree,Strongly agree,no. never,no. never,no,managing customer requirements is challenging at times,I haven't experienced or witnessed this behaviour,I haven't experienced or witnessed this behaviour,Strongly agree,Strongly agree,Strongly agree,Neutral,,,no thank you
Yes,3-5 years,26-35,Female,Canada,Masters degree,Full-time (38+ hours a week),Developer,1001 - 10.000,26+,Rarely,Rarely,Rarely,Rarely,Never,Untrue,Agree,Agree,no. never,one or two times,Some favouritism from upper management ,Different educational background ,I have witnessed this behaviour,I haven't experienced or witnessed this behaviour,Strongly agree,Strongly agree,Strongly agree,Neutral,,,no thank you
Yes,6-10 years,26-35,Female,Germany,Masters degree,Part-time (less than 38 hours a week),Product manager,101 - 500,26+,Rarely,Never,Sometimes,Rarely,Never,True,Agree,Agree,one or two times,no. never,yes. less paid. unfair evaluation ,,I have witnessed this behaviour,I haven't experienced or witnessed this behaviour,Agree,Agree,Neutral,Agree,Female,,no thank you
Yes,3-5 years,26-35,Male,Germany,Masters degree,Full-time (38+ hours a week),Developer,501 - 1000,1 - 5,Very often,Rarely,Sometimes,Rarely,Never,True,Strongly agree,Strongly agree,three or four times,one or two times,No. But I thibk it has to do with one's attitude. I can think of moments that other people would consider  unfair that has happened to me. But I don't dwell on those moments.,Learning how to learn. Learning how to be self motivated and organize my own time. ,I have witnessed this behaviour,I have witnessed this behaviour,Strongly agree,Agree,Strongly agree,Strongly disagree,,Many of the examples apply to the society we live in. not the sw industry in particular. Gender wise. there's just not enough women. gender disparity exists since the school level for STEM. specially sw. It's impossible to have 50/50 in the sw workplace. Lastly. people tend to confuse awkwardness with being rude. ,Yes I would like to obtain a summary of the results and keep in touch in case additional information is needed
Yes,3-5 years,36-45,Male,Netherlands,Masters degree,Self-employed,Consultant,I am a freelancer,6 - 10,Rarely,Rarely,Rarely,Sometimes,Rarely,True,Agree,Agree,no. never,no. never,,,I haven't experienced or witnessed this behaviour,I haven't experienced or witnessed this behaviour,Disagree,Agree,Neutral,Strongly disagree,,,no thank you
Yes,16-20 years,46-55,Male,Netherlands,MBO. via werk opgewerkt tot HBO,Full-time (38+ hours a week),Technical Support Officer,10 - 100,1 - 5,Sometimes,Never,Sometimes,Rarely,Very often,Untrue,Neutral,Neutral,no. never,one or two times,No?,I have no biggest obstacle,I haven't experienced or witnessed this behaviour,I haven't experienced or witnessed this behaviour,Agree,Neutral,Strongly agree,Neutral,,No,Yes I would like to obtain a summary of the results
Yes,6-10 years,26-35,Male,Germany,Masters degree,Full-time (38+ hours a week),Senior UX Designer,101 - 500,11 - 15,Sometimes,Sometimes,Rarely,Sometimes,Never,True,Agree,Strongly agree,no. never,one or two times,Racism,Lack of communication between team members and other teams,I have experienced and witnessed this behaviour,I have witnessed this behaviour,Strongly agree,Neutral,Strongly agree,Strongly agree,Female,,Yes I am willing to keep in touch in case additional information is needed.
Yes,6-10 years,26-35,Female,Germany,Bachelors degree,Full-time (38+ hours a week),Tester,1001 - 10.000,1 - 5,Rarely,Rarely,Sometimes,Sometimes,Rarely,Untrue,Agree,Strongly agree,three or four times,no. never,My boss once told me I only got a good feedback (end of year review) because I am a girl and the client likes girls. This was after saving the project (because we were losing it) and being named the team leader because the client’s team found that I was worth the role.,When meeting new colleagues/clients. it takes a while for them to understand that I am actually good at what I do (not a “bimbo”). Always feeling that you are not taken seriously is sometimes very discouraging. but hearing those same people praise your work and work ethic afterwards is very rewarding,I have experienced and witnessed this behaviour,I have experienced and witnessed this behaviour,Agree,Agree,Strongly agree,Strongly agree,Female. Non-binary,Sometimes I have a fear that women are expecting sexism so we assume it. I hope we can truly learn what men experience because maybe it’s exactly the same.,Yes I would like to obtain a summary of the results and keep in touch in case additional information is needed
Yes,16-20 years,36-45,Female,Netherlands,Doctorate,Full-time (38+ hours a week),Tech and team lead,10 - 100,1 - 5,Very often,Very often,Very often,Very often,Rarely,True,Disagree,Agree,More than four times,More than four times,yes. at Google I was paid 15% less than make counterparts. and I know this because I was in that taskforce... Just because female,My fucking gender,I have experienced this behaviour,I have experienced this behaviour,Neutral,Agree,Neutral,Strongly agree,Female,I worked in 3 countries and 2 continent and it's so pervasive. sexism. ,Yes I would like to obtain a summary of the results and keep in touch in case additional information is needed
Yes,3-5 years,26-35,Female,Germany,Masters degree,Part-time (less than 38 hours a week),Business Analyst ,1001 - 10.000,6 - 10,Sometimes,Rarely,Rarely,Rarely,Never,True,Agree,Strongly agree,no. never,one or two times,No,Missing networking skills ,I haven't experienced or witnessed this behaviour,I haven't experienced or witnessed this behaviour,Agree,Neutral,Agree,Disagree,,,no thank you
Yes,3-5 years,36-45,Male,Germany,Masters degree,Full-time (38+ hours a week),Project Manager,101 - 500,6 - 10,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,True,Agree,Agree,one or two times,one or two times,My Head of the department did not taking notice of my opinion and prefer to hear a colleague in the same position without a logical od fact based reason. The other person was preferred. even if the person had a lower level of education and was near to be made redundant in his previous department at the same company. due to his work performance.,Lack of understanding that leadership is not necessarily a natural talent. it requires training and guidance. As well as the selection of leaders should be based not only on their networking capability but mostly on their leadership skills and working attitude.,I have witnessed this behaviour,I have witnessed this behaviour,Neutral,Agree,Agree,Disagree,,,Yes I would like to obtain a summary of the results and keep in touch in case additional information is needed
Yes,Less than 2 years,26-35,Female,Germany,Bachelors degree,Full-time (38+ hours a week),Business Analyst/Product Owner,101 - 500,11 - 15,Rarely,Rarely,Rarely,Never,Rarely,True,Neutral,Agree,no. never,no. never,No but the reason behind this answer is that I am pretty new to this industry. ,Requiring additional time to understand the software industry is my biggest challenge. ,I haven't experienced or witnessed this behaviour,I haven't experienced or witnessed this behaviour,Agree,Neutral,Neutral,Neutral,,No,no thank you
Yes,6-10 years,26-35,Female,Netherlands,Bachelors degree,Full-time (38+ hours a week),Tester,10 - 100,6 - 10,Sometimes,Rarely,Rarely,Never,Never,Untrue,Neutral,Agree,no. never,no. never,,The hot fixes sometimes are made without considering the impact for other components. and therefore quality can't be no longer guaranteed. and even causing rework and retest effort,I have experienced and witnessed this behaviour,I have experienced and witnessed this behaviour,Agree,Agree,Strongly agree,Neutral,,,no thank you
Yes,6-10 years,26-35,Male,Netherlands,Bachelors degree,Part-time (less than 38 hours a week),Developer,10 - 100,1 - 5,Rarely,Rarely,Rarely,Never,Never,Untrue,Agree,Agree,no. never,no. never,,Aligning personal interests with those of the company. I work best on projects that appeal to me.,I have witnessed this behaviour,I have witnessed this behaviour,Agree,Agree,Neutral,Neutral,,,Yes I would like to obtain a summary of the results
Yes,6-10 years,26-35,Female,Bulgaria,Bachelors degree,Full-time (38+ hours a week),Tester,101 - 500,6 - 10,Rarely,Rarely,Never,Sometimes,Sometimes,Untrue,Agree,Neutral,no. never,More than four times,yes. mostly I feel unfairly treated when I bring to attention general issues or potential blockers. and this is not taken into consideration upfront.,Unprofessional behaviour of colleagues.,I have experienced this behaviour,I have experienced this behaviour,Strongly agree,Disagree,Strongly agree,Agree,Female,no. thank you. it was quite interesting :),Yes I would like to obtain a summary of the results and keep in touch in case additional information is needed
Yes,Less than 2 years,18-25,Male,Germany,Bachelors degree,Full-time (38+ hours a week),Product owner,101 - 500,1 - 5,Rarely,Rarely,Sometimes,Never,Sometimes,Untrue,Neutral,Neutral,no. never,no. never,No,Lack of technical skills,I haven't experienced or witnessed this behaviour,I haven't experienced or witnessed this behaviour,Strongly agree,Agree,Strongly agree,Agree,Female,,no thank you
